ip,first_seen,last_seen,categories,events,signals
45.198.224.26,2026-08-19T19:00:00Z,2026-08-20T16:00:00Z,1,25,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
58.151.173.28,2026-08-19T21:00:00Z,2026-08-19T21:00:00Z,1,64,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
64.207.185.5,2026-08-20T08:00:00Z,2026-08-20T18:00:00Z,1,13689,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
91.92.40.233,2026-08-20T02:00:00Z,2026-08-20T02:00:00Z,1,6,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
94.154.43.196,2026-08-20T14:00:00Z,2026-08-20T14:00:00Z,1,6,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
112.5.89.227,2026-08-20T02:00:00Z,2026-08-20T02:00:00Z,1,70,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
112.7.114.230,2026-08-20T16:00:00Z,2026-08-20T16:00:00Z,1,10,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
114.33.12.13,2026-08-20T17:00:00Z,2026-08-20T17:00:00Z,1,8,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
121.29.5.109,2026-08-20T04:00:00Z,2026-08-20T04:00:00Z,1,3,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
157.245.213.135,2026-08-19T23:00:00Z,2026-08-19T23:00:00Z,1,18,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
159.223.33.0,2026-08-19T23:00:00Z,2026-08-19T23:00:00Z,1,3,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
170.64.147.115,2026-08-20T05:00:00Z,2026-08-20T06:00:00Z,1,672,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
175.100.59.63,2026-08-19T22:00:00Z,2026-08-19T22:00:00Z,1,4,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
176.65.148.30,2026-08-19T13:00:00Z,2026-08-20T02:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
204.76.203.43,2026-08-20T16:00:00Z,2026-08-20T16:00:00Z,1,6,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
223.101.223.126,2026-08-20T03:00:00Z,2026-08-20T03:00:00Z,1,10,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
