ip,first_seen,last_seen,categories,events,signals
1.174.162.8,2026-09-02T12:00:00Z,2026-09-02T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
1.212.225.99,2026-08-31T18:00:00Z,2026-08-31T18:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
1.233.103.18,2026-09-01T12:00:00Z,2026-09-01T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
1.247.245.61,2026-09-02T03:00:00Z,2026-09-02T03:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
2.26.201.104,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
2.57.121.112,2026-08-22T04:00:00Z,2026-09-03T02:00:00Z,1,100,honeypot_connection;honeypot_login_attempt
2.57.122.53,2026-08-29T09:00:00Z,2026-08-29T13:00:00Z,1,268,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
2.179.194.193,2026-08-31T04:00:00Z,2026-09-01T17:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
2.180.6.8,2026-09-03T00:00:00Z,2026-09-03T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
2.180.15.240,2026-09-02T10:00:00Z,2026-09-02T10:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
2.249.150.53,2026-08-25T16:00:00Z,2026-09-02T11:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
5.21.142.114,2026-08-29T19:00:00Z,2026-08-29T19:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.44.170.181,2026-09-01T20:00:00Z,2026-09-01T20:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.101.78.146,2026-09-02T00:00:00Z,2026-09-02T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.129.178.58,2026-09-01T04:00:00Z,2026-09-01T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.134.86.24,2026-08-29T02:00:00Z,2026-08-29T02:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.138.112.112,2026-09-02T14:00:00Z,2026-09-02T14:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.202.251.209,2026-08-30T12:00:00Z,2026-08-30T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
5.219.133.113,2026-08-28T16:00:00Z,2026-08-28T16:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
