ip,first_seen,last_seen,categories,events,signals
16.5.0.236,2026-09-05T01:00:00Z,2026-09-22T05:00:00Z,2,373,catchall_probe;honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
36.133.130.103,2026-09-21T15:00:00Z,2026-09-21T15:00:00Z,1,5,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
39.174.42.18,2026-09-21T15:00:00Z,2026-09-21T15:00:00Z,1,7,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
42.239.191.25,2026-09-21T10:00:00Z,2026-09-21T10:00:00Z,1,255,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
45.33.14.5,2026-08-28T19:00:00Z,2026-09-22T03:00:00Z,1,33,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
45.91.64.7,2026-08-20T14:00:00Z,2026-09-21T16:00:00Z,1,47,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
45.225.135.21,2026-09-21T10:00:00Z,2026-09-21T10:00:00Z,1,17,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
47.116.172.181,2026-09-22T01:00:00Z,2026-09-22T01:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
50.2.184.242,2026-08-31T16:00:00Z,2026-09-22T05:00:00Z,1,929,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
58.221.60.25,2026-09-21T11:00:00Z,2026-09-21T11:00:00Z,1,7,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
58.223.165.154,2026-09-21T07:00:00Z,2026-09-21T07:00:00Z,1,3,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
59.126.236.18,2026-09-21T16:00:00Z,2026-09-21T16:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
64.62.156.66,2026-08-19T12:00:00Z,2026-09-22T02:00:00Z,1,21,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
66.240.219.146,2026-09-13T00:00:00Z,2026-09-21T14:00:00Z,1,12,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
77.239.124.112,2026-09-20T12:00:00Z,2026-09-21T23:00:00Z,1,21,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
82.25.63.191,2026-09-20T06:00:00Z,2026-09-21T12:00:00Z,1,49,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
89.248.171.24,2026-09-09T11:00:00Z,2026-09-22T03:00:00Z,1,14,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
93.208.43.235,2026-09-22T03:00:00Z,2026-09-22T03:00:00Z,1,24,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
94.154.43.69,2026-09-06T12:00:00Z,2026-09-22T05:00:00Z,1,8404,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
94.183.174.95,2026-09-06T23:00:00Z,2026-09-21T22:00:00Z,2,191,catchall_probe;honeypot_command_exec;honeypot_connection;honeypot_login_attempt
103.82.120.4,2026-09-21T12:00:00Z,2026-09-21T12:00:00Z,1,17,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
103.82.120.87,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,1,51,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
103.249.117.202,2026-09-20T12:00:00Z,2026-09-21T21:00:00Z,1,14,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
106.75.25.139,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,1,7,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
116.249.120.145,2026-09-21T15:00:00Z,2026-09-21T15:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
117.179.195.158,2026-09-21T13:00:00Z,2026-09-21T13:00:00Z,1,25,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
119.116.237.187,2026-09-22T03:00:00Z,2026-09-22T03:00:00Z,1,799,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
122.117.178.131,2026-09-21T13:00:00Z,2026-09-21T13:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
123.148.199.10,2026-09-21T20:00:00Z,2026-09-21T20:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
142.93.69.27,2026-08-28T02:00:00Z,2026-09-22T00:00:00Z,1,159,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
153.117.9.28,2026-09-07T20:00:00Z,2026-09-21T20:00:00Z,1,833,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
153.117.13.86,2026-09-21T07:00:00Z,2026-09-21T07:00:00Z,1,357,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
157.245.175.150,2026-09-21T09:00:00Z,2026-09-21T12:00:00Z,1,165,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
160.22.107.10,2026-09-21T09:00:00Z,2026-09-21T09:00:00Z,1,14,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
160.119.66.206,2026-09-14T01:00:00Z,2026-09-21T08:00:00Z,1,225,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
161.248.37.160,2026-08-31T22:00:00Z,2026-09-21T09:00:00Z,1,8517,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
176.110.102.150,2026-08-28T15:00:00Z,2026-09-21T22:00:00Z,1,6,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
182.93.7.194,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,1,7,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
187.255.41.26,2026-09-18T07:00:00Z,2026-09-21T16:00:00Z,1,18,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
203.236.109.13,2026-09-03T18:00:00Z,2026-09-21T10:00:00Z,1,200,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
218.11.249.61,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
223.29.232.249,2026-09-21T16:00:00Z,2026-09-21T16:00:00Z,1,17,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
