ip,first_seen,last_seen,categories,events,signals
2.57.121.112,2026-08-22T04:00:00Z,2026-09-26T16:00:00Z,1,704,honeypot_connection;honeypot_login_attempt
5.182.208.205,2026-09-19T23:00:00Z,2026-09-26T00:00:00Z,1,399,honeypot_connection;honeypot_login_attempt
8.219.222.66,2026-09-04T07:00:00Z,2026-09-25T16:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
23.94.122.169,2026-09-01T23:00:00Z,2026-09-25T14:00:00Z,1,338,honeypot_connection;honeypot_login_attempt
23.95.35.105,2026-09-01T13:00:00Z,2026-09-25T02:00:00Z,1,574,honeypot_connection;honeypot_login_attempt
27.96.92.231,2026-09-04T00:00:00Z,2026-09-26T00:00:00Z,1,104,honeypot_connection;honeypot_login_attempt
27.252.121.253,2026-09-26T08:00:00Z,2026-09-26T08:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
35.189.223.103,2026-09-26T06:00:00Z,2026-09-26T06:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
35.195.36.41,2026-09-24T18:00:00Z,2026-09-24T18:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
36.24.44.23,2026-09-26T01:00:00Z,2026-09-26T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
36.139.138.72,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
37.61.119.170,2026-09-25T07:00:00Z,2026-09-25T07:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
37.148.132.205,2026-09-01T13:00:00Z,2026-09-25T22:00:00Z,1,2290,honeypot_connection;honeypot_login_attempt
37.148.133.121,2026-09-01T13:00:00Z,2026-09-25T20:00:00Z,1,2381,honeypot_connection;honeypot_login_attempt
38.191.126.74,2026-09-26T13:00:00Z,2026-09-26T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
41.232.50.80,2026-09-21T15:00:00Z,2026-09-25T19:00:00Z,1,28,honeypot_connection;honeypot_login_attempt
44.220.185.89,2026-09-25T02:00:00Z,2026-09-25T02:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
45.43.60.133,2026-09-25T00:00:00Z,2026-09-25T00:00:00Z,1,7,honeypot_connection;honeypot_login_attempt
45.91.64.10,2026-09-19T23:00:00Z,2026-09-25T18:00:00Z,1,5,honeypot_connection;honeypot_login_attempt
45.152.210.20,2026-09-19T23:00:00Z,2026-09-26T00:00:00Z,1,321,honeypot_connection;honeypot_login_attempt
58.35.105.176,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
62.171.141.174,2026-09-15T20:00:00Z,2026-09-25T18:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
66.92.247.40,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
66.240.236.119,2026-08-20T13:00:00Z,2026-09-25T06:00:00Z,1,5,honeypot_connection;honeypot_login_attempt
72.47.208.106,2026-09-25T07:00:00Z,2026-09-25T10:00:00Z,1,12988,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
77.90.185.17,2026-09-05T04:00:00Z,2026-09-26T15:00:00Z,1,334,honeypot_connection;honeypot_login_attempt
80.69.55.177,2026-09-24T22:00:00Z,2026-09-24T22:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
80.94.95.116,2026-09-09T18:00:00Z,2026-09-26T13:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
83.142.10.241,2026-09-25T09:00:00Z,2026-09-25T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
85.11.167.154,2026-09-25T14:00:00Z,2026-09-25T15:00:00Z,1,15,honeypot_connection;honeypot_login_attempt
91.232.29.206,2026-08-22T22:00:00Z,2026-09-26T05:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
92.204.138.198,2026-09-19T22:00:00Z,2026-09-25T10:00:00Z,1,12450,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
92.205.109.198,2026-09-19T22:00:00Z,2026-09-26T00:00:00Z,1,7857,honeypot_connection;honeypot_login_attempt
